samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
atHome,First Hill,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Columbia City,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Roxhill/Westwood,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Broadview/Bitter Lake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Ravenna/Bryant,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Laurelhurst/Sand Point,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Capitol Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Greenwood/Phinney Ridge,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Haller Lake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Beach/Blue Ridge,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Green Lake,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Ballard,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Fremont,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Magnolia,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Madison Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Capitol Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Cascade/Eastlake,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Downtown Commercial Core,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Duwamish/SODO,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,West Seattle Junction/Genesee Hill,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,North Beacon Hill/Jefferson Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Georgetown,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,South Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Rainier Beach,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Sunset Hill/Loyal Heights,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Belltown,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Mt. Baker/North Rainier,3,3,0.657675169,0.112172568,0.465183176,0.648312411,0.903627193,0.629992698
atHome,Alki/Admiral,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,North Delridge,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Beacon Hill,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Fauntleroy/Seaview,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Riverview,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,South Beacon Hill/NewHolly,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Seward Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,University District,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Madrona/Leschi,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
clinic,Olympic Hills/Victory Heights,21,21,18.54396426,4.091743708,11.81032862,18.10835889,27.76857904,17.26790541
clinic,Cedar Park/Meadowbrook,30,30,26.47167553,4.963078601,18.07361416,26.01831369,37.45952456,25.13502576
clinic,Northgate/Maple Leaf,58,58,52.41472331,7.108479851,39.86262503,51.93921911,67.68002496,51.00155142
clinic,Wallingford,21,21,18.54396426,4.091743708,11.81032862,18.10835889,27.76857904,17.26790541
clinic,Interbay,11,11,10.31249244,2.934209918,5.740209512,9.918779857,17.14203112,9.176144228
clinic,Queen Anne,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,Central Area/Squire Park,16,16,14.32241406,3.543686952,8.621781693,13.90314888,22.42299165,13.10127113
clinic,Judkins Park,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
clinic,Pioneer Square/International District,43,43,38.35496274,6.040499344,27.87714062,37.88794931,51.49857571,36.9712223
clinic,High Point,9,9,8.793010536,2.669697178,4.700958111,8.413729634,15.06152582,7.703680822
clinic,Arbor Heights,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
