CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Seward Park,vic,2018_W49,2.91E-09,8.94E-55,2.91E-09,8.66E+36,2.92E-09,1
South Beacon Hill/NewHolly,vic,2018_W49,3.11E-09,6.80E-55,3.11E-09,1.30E+37,3.12E-09,1
South Park,vic,2018_W49,7.57E-05,3.63E-10,7.57E-05,15.61685007,7.57E-05,4
Sunset Hill/Loyal Heights,vic,2018_W49,4.72E-05,2.57E-10,4.72E-05,8.563535429,4.72E-05,4
University District,vic,2018_W49,3.66E-07,1.36E-12,3.66E-07,0.096905121,3.67E-07,2
Wallingford,vic,2018_W49,2.44E-05,1.36E-10,2.44E-05,4.350919509,2.44E-05,4
Wedgwood/View Ridge,vic,2018_W49,1.23E-06,3.86E-12,1.23E-06,0.387202416,1.23E-06,2
West Seattle Junction/Genesee Hill,vic,2018_W49,4.13E-06,7.55E-12,4.13E-06,2.237740181,4.14E-06,3
Whittier Heights,vic,2018_W49,2.93E-09,8.72E-55,2.93E-09,8.98E+36,2.94E-09,1
Alki/Admiral,vic,2018_W50,2.60E-05,1.11E-10,2.60E-05,6.067578378,2.60E-05,4
Arbor Heights,vic,2018_W50,6.01E-06,1.27E-11,6.01E-06,2.806634528,6.01E-06,3
Ballard,vic,2018_W50,3.35E-05,1.71E-10,3.35E-05,6.521011501,3.35E-05,4
Beacon Hill,vic,2018_W50,4.39E-09,4.10E-52,4.39E-09,4.31E+34,4.40E-09,1
Belltown,vic,2018_W50,5.24E-05,2.93E-10,5.24E-05,9.283207961,5.24E-05,4
Broadview/Bitter Lake,vic,2018_W50,5.54E-09,1.62E-52,5.53E-09,1.73E+35,5.55E-09,1
Capitol Hill,vic,2018_W50,1.04E-06,4.02E-12,1.04E-06,0.268249574,1.05E-06,2
Cascade/Eastlake,vic,2018_W50,8.49E-06,4.20E-11,8.49E-06,1.698016586,8.49E-06,3
Cedar Park/Meadowbrook,vic,2018_W50,2.58E-05,1.49E-10,2.58E-05,4.434893153,2.58E-05,4
Central Area/Squire Park,vic,2018_W50,2.24E-05,1.27E-10,2.24E-05,3.907992039,2.24E-05,3
Columbia City,vic,2018_W50,4.10E-06,1.67E-11,4.10E-06,0.997187483,4.10E-06,3
Downtown Commercial Core,vic,2018_W50,1.61E-06,4.25E-12,1.61E-06,0.605404678,1.62E-06,2
Duwamish/SODO,vic,2018_W50,3.77E-06,6.44E-12,3.77E-06,2.175672878,3.77E-06,3
Fauntleroy/Seaview,vic,2018_W50,9.06E-11,4.65E-18,9.10E-11,0.001704493,9.17E-11,1
First Hill,vic,2018_W50,1.29E-05,6.06E-11,1.29E-05,2.736026351,1.29E-05,3
Fremont,vic,2018_W50,6.67E-06,3.07E-11,6.67E-06,1.436774183,6.67E-06,3
Georgetown,vic,2018_W50,6.73E-07,5.87E-13,6.73E-07,0.757246212,6.75E-07,2
Green Lake,vic,2018_W50,1.47E-06,5.21E-12,1.47E-06,0.409122248,1.47E-06,2
Greenwood/Phinney Ridge,vic,2018_W50,2.85E-05,1.54E-10,2.85E-05,5.221179905,2.85E-05,4
Haller Lake,vic,2018_W50,6.01E-09,1.16E-52,6.01E-09,2.86E+35,6.02E-09,1
High Point,vic,2018_W50,9.47E-08,6.01E-14,9.48E-08,0.145956234,9.52E-08,2
Highland Park,vic,2018_W50,6.06E-09,1.12E-52,6.06E-09,3.01E+35,6.07E-09,1
Interbay,vic,2018_W50,2.05E-05,9.79E-11,2.05E-05,4.257951978,2.05E-05,3
Judkins Park,vic,2018_W50,2.70E-05,1.41E-10,2.70E-05,5.108397051,2.70E-05,4
Laurelhurst/Sand Point,vic,2018_W50,1.06E-05,3.94E-11,1.06E-05,2.814213056,1.06E-05,3
Licton Springs,vic,2018_W50,5.39E-05,2.41E-10,5.39E-05,11.93581909,5.39E-05,4
Madison Park,vic,2018_W50,7.80E-09,3.81E-53,7.80E-09,1.46E+36,7.82E-09,1
Madrona/Leschi,vic,2018_W50,2.41E-05,1.16E-10,2.41E-05,4.929331769,2.41E-05,4
Magnolia,vic,2018_W50,0.000100984,5.11E-10,0.000100967,19.73972253,0.000100984,5
Miller Park,vic,2018_W50,1.18E-05,4.39E-11,1.18E-05,3.150308874,1.18E-05,3
Montlake/Portage Bay,vic,2018_W50,5.68E-05,2.95E-10,5.68E-05,10.81550205,5.68E-05,4
Mt. Baker/North Rainier,vic,2018_W50,2.03E-05,9.62E-11,2.02E-05,4.218830596,2.03E-05,3
NA,vic,2018_W50,1.82E-08,6.41E-55,1.82E-08,4.71E+38,1.82E-08,1
North Beach/Blue Ridge,vic,2018_W50,3.96E-09,6.07E-52,3.96E-09,2.37E+34,3.97E-09,1
North Beacon Hill/Jefferson Park,vic,2018_W50,1.57E-06,5.17E-12,1.57E-06,0.470569241,1.57E-06,2
