GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033024901,h1n1pdm,2018_W47,1.26E-08,3.23E-73,1.26E-08,4.34E+56,1.26E-08,1
53033024902,h1n1pdm,2018_W47,2.78E-09,1.62E-14,2.78E-09,0.000473369,2.78E-09,1
53033024903,h1n1pdm,2018_W47,1.26E-08,3.22E-73,1.26E-08,4.35E+56,1.26E-08,1
53033025001,h1n1pdm,2018_W47,2.26E-05,6.44E-08,2.26E-05,0.00786473,2.26E-05,3
53033025003,h1n1pdm,2018_W47,1.30E-08,3.42E-73,1.30E-08,4.36E+56,1.30E-08,1
53033025005,h1n1pdm,2018_W47,2.64E-07,1.38E-10,2.64E-07,0.000500513,2.64E-07,1
53033025006,h1n1pdm,2018_W47,1.23E-08,3.91E-73,1.23E-08,3.40E+56,1.23E-08,1
53033025101,h1n1pdm,2018_W47,1.29E-08,2.69E-73,1.29E-08,5.45E+56,1.29E-08,1
53033025102,h1n1pdm,2018_W47,9.31E-09,4.45E-72,9.29E-09,1.73E+55,9.31E-09,1
53033025200,h1n1pdm,2018_W47,0.001388321,8.53E-06,0.00138822,0.225019135,0.001388322,4
53033025301,h1n1pdm,2018_W47,4.03E-07,1.85E-11,4.03E-07,0.008686358,4.03E-07,1
53033025302,h1n1pdm,2018_W47,0.00208935,2.70E-05,0.00208922,0.161192186,0.00208935,4
53033025400,h1n1pdm,2018_W47,1.50E-08,6.05E-74,1.50E-08,3.28E+57,1.50E-08,1
53033025500,h1n1pdm,2018_W47,1.08E-08,1.22E-72,1.08E-08,8.52E+55,1.08E-08,1
53033025601,h1n1pdm,2018_W47,1.17E-08,6.38E-73,1.16E-08,1.88E+56,1.17E-08,1
53033025602,h1n1pdm,2018_W47,1.16E-08,6.51E-73,1.16E-08,1.84E+56,1.16E-08,1
53033025701,h1n1pdm,2018_W47,0.00032947,3.07E-06,0.000329448,0.035171896,0.000329471,4
53033025702,h1n1pdm,2018_W47,1.28E-08,2.79E-73,1.28E-08,5.21E+56,1.28E-08,1
53033025803,h1n1pdm,2018_W47,1.39E-08,1.25E-73,1.39E-08,1.37E+57,1.39E-08,1
53033025804,h1n1pdm,2018_W47,1.23E-08,4.07E-73,1.22E-08,3.27E+56,1.23E-08,1
53033025805,h1n1pdm,2018_W47,5.62E-05,4.24E-08,5.62E-05,0.074019889,5.62E-05,3
53033025806,h1n1pdm,2018_W47,1.30E-08,2.46E-73,1.29E-08,6.04E+56,1.30E-08,1
53033026001,h1n1pdm,2018_W47,2.41E-05,6.07E-07,2.41E-05,0.000953799,2.41E-05,3
53033026002,h1n1pdm,2018_W47,9.40E-09,3.80E-72,9.38E-09,2.05E+55,9.40E-09,1
53033026100,h1n1pdm,2018_W47,4.83E-05,3.65E-08,4.83E-05,0.063595387,4.83E-05,3
53033026200,h1n1pdm,2018_W47,1.08E-08,4.00E-72,1.08E-08,2.57E+55,1.08E-08,1
53033026300,h1n1pdm,2018_W47,2.42E-05,8.35E-08,2.42E-05,0.006982046,2.42E-05,3
53033026400,h1n1pdm,2018_W47,5.47E-07,3.02E-09,5.47E-07,9.88E-05,5.47E-07,1
53033026500,h1n1pdm,2018_W47,1.42E-08,2.06E-13,1.41E-08,0.000962127,1.42E-08,1
53033026600,h1n1pdm,2018_W47,5.13E-06,9.82E-09,5.13E-06,0.002668339,5.13E-06,2
53033026700,h1n1pdm,2018_W47,1.00E-08,2.63E-72,1.00E-08,3.38E+55,1.00E-08,1
53033026801,h1n1pdm,2018_W47,0.000207013,3.76E-07,0.000206994,0.113472684,0.000207013,3
53033026802,h1n1pdm,2018_W47,1.34E-07,3.36E-12,1.33E-07,0.005254988,1.34E-07,1
53033027000,h1n1pdm,2018_W47,1.28E-07,3.23E-12,1.28E-07,0.005052988,1.28E-07,1
53033027100,h1n1pdm,2018_W47,0.001539502,3.00E-05,0.001539416,0.078689458,0.001539503,4
53033027200,h1n1pdm,2018_W47,0.000136071,1.61E-07,0.000136058,0.114397478,0.000136071,3
53033027300,h1n1pdm,2018_W47,1.45E-08,8.30E-74,1.45E-08,2.24E+57,1.45E-08,1
53033027400,h1n1pdm,2018_W47,1.11E-08,9.94E-14,1.11E-08,0.001227102,1.11E-08,1
53033027500,h1n1pdm,2018_W47,1.11E-08,9.54E-73,1.11E-08,1.15E+56,1.11E-08,1
53033027600,h1n1pdm,2018_W47,1.33E-08,1.79E-73,1.33E-08,8.80E+56,1.33E-08,1
