CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Rainier Beach,rsva,2018_W51,0.00010437,2.42E-07,0.000106538,0.039875907,0.000111002,2
Ravenna/Bryant,rsva,2018_W51,0.000192553,3.10E-06,0.00019302,0.011764034,0.000193969,2
Riverview,rsva,2018_W51,0.000267519,1.88E-07,0.000267846,0.375216709,0.000268571,2
Roxhill/Westwood,rsva,2018_W51,2.74E-05,2.64E-09,2.76E-05,0.269366504,2.80E-05,2
Seward Park,rsva,2018_W51,3.79E-08,6.64E-15,3.94E-08,0.170444082,4.27E-08,1
South Beacon Hill/NewHolly,rsva,2018_W51,1.93E-06,8.54E-13,1.96E-06,3.859883607,2.04E-06,1
South Park,rsva,2018_W51,6.94E-08,1.60E-51,6.96E-08,2.69E+36,7.04E-08,1
Sunset Hill/Loyal Heights,rsva,2018_W51,1.11E-05,2.28E-08,1.17E-05,0.004090139,1.29E-05,2
University District,rsva,2018_W51,2.13E-05,9.74E-09,2.21E-05,0.03699953,2.39E-05,2
Wallingford,rsva,2018_W51,0.003263391,0.000776355,0.003263488,0.013697293,0.003263886,3
Wedgwood/View Ridge,rsva,2018_W51,0.012791565,0.003444534,0.012800989,0.047250728,0.012820555,4
West Seattle Junction/Genesee Hill,rsva,2018_W51,0.005503996,0.000527738,0.005504583,0.057244844,0.005506315,4
Whittier Heights,rsva,2018_W51,0.000787431,1.97E-05,0.00078723,0.031450821,0.000786937,3
Alki/Admiral,rsva,2018_W52,1.51E-06,2.36E-11,1.55E-06,0.080784101,1.65E-06,1
Arbor Heights,rsva,2018_W52,3.02E-05,1.68E-08,3.08E-05,0.048185664,3.21E-05,2
Ballard,rsva,2018_W52,0.002960369,0.000268825,0.002961285,0.032470722,0.002963418,3
Beacon Hill,rsva,2018_W52,1.20E-05,2.60E-10,1.23E-05,0.479578783,1.29E-05,2
Belltown,rsva,2018_W52,0.000263732,2.64E-06,0.000270371,0.022917038,0.00028405,2
Broadview/Bitter Lake,rsva,2018_W52,0.009641772,0.001313921,0.009679338,0.069108067,0.009755138,4
Capitol Hill,rsva,2018_W52,0.000688284,1.17E-05,0.000687802,0.040482016,0.000686954,3
Cascade/Eastlake,rsva,2018_W52,0.0002772,5.33E-06,0.000286035,0.012121371,0.000304694,2
Cedar Park/Meadowbrook,rsva,2018_W52,0.013361867,0.004482206,0.013367999,0.039691301,0.013380856,4
Central Area/Squire Park,rsva,2018_W52,0.004850259,0.001091889,0.004856112,0.021370812,0.004868049,4
Columbia City,rsva,2018_W52,0.000685445,1.34E-05,0.000686465,0.034654959,0.000688653,3
Downtown Commercial Core,rsva,2018_W52,0.001265735,6.52E-05,0.001279209,0.02312359,0.001307279,3
Duwamish/SODO,rsva,2018_W52,0.00677186,0.000446113,0.006773163,0.102423778,0.006776542,4
Fauntleroy/Seaview,rsva,2018_W52,0.020872426,0.005079244,0.020866811,0.085788778,0.020856828,4
First Hill,rsva,2018_W52,0.001777222,0.000172964,0.001785518,0.017754846,0.001802314,3
Fremont,rsva,2018_W52,0.004396993,0.000770062,0.004397157,0.025061144,0.00439782,3
Georgetown,rsva,2018_W52,2.53E-06,7.15E-12,2.58E-06,0.792367496,2.68E-06,1
Green Lake,rsva,2018_W52,0.00720623,0.000850669,0.007206966,0.06089196,0.007209104,4
Greenwood/Phinney Ridge,rsva,2018_W52,0.000213411,2.09E-06,0.000215017,0.020770642,0.000218365,2
Haller Lake,rsva,2018_W52,4.71E-05,4.19E-09,4.81E-05,0.466555802,5.02E-05,2
High Point,rsva,2018_W52,0.007198469,0.000626068,0.007198339,0.082589471,0.007198844,4
Highland Park,rsva,2018_W52,1.71E-07,8.28E-49,1.71E-07,3.18E+34,1.73E-07,1
Interbay,rsva,2018_W52,0.00189023,0.000179742,0.001890339,0.019827883,0.001890744,3
Judkins Park,rsva,2018_W52,0.031546403,0.009334129,0.031556057,0.106315051,0.031576961,5
Laurelhurst/Sand Point,rsva,2018_W52,0.001392194,5.30E-05,0.001392034,0.03650587,0.001391903,3
Licton Springs,rsva,2018_W52,7.82E-07,5.76E-13,8.09E-07,0.867273032,8.65E-07,1
Madison Park,rsva,2018_W52,1.62E-05,1.16E-10,1.64E-05,2.066032508,1.69E-05,2
Madrona/Leschi,rsva,2018_W52,0.009289462,0.001115763,0.009294044,0.076974445,0.009303923,4
Magnolia,rsva,2018_W52,1.56E-05,1.29E-09,1.59E-05,0.168060837,1.64E-05,2
Miller Park,rsva,2018_W52,1.44E-05,2.06E-09,1.48E-05,0.087931092,1.55E-05,2
Montlake/Portage Bay,rsva,2018_W52,0.000462973,7.71E-06,0.000466961,0.026413737,0.00047515,3
Mt. Baker/North Rainier,rsva,2018_W52,4.22E-05,3.50E-08,4.32E-05,0.044506621,4.53E-05,2
NA,rsva,2018_W52,3.00E-07,2.87E-49,3.00E-07,2.82E+35,3.03E-07,1
North Beach/Blue Ridge,rsva,2018_W52,0.000233592,8.56E-07,0.000238269,0.056772569,0.000247809,2
North Beacon Hill/Jefferson Park,rsva,2018_W52,0.008336574,0.001080978,0.008369739,0.062761163,0.008436127,4
North Capitol Hill,rsva,2018_W52,1.37E-07,1.23E-48,1.37E-07,1.37E+34,1.38E-07,1
